language,glottocode,iso_639_3,dictionaries,total_entries,total_words,entries_with_audio,audio_hours,video_hours
Yokoim,tabr1243,tzx,1,768,1202,767,0.33,0.00
A fala,fala1241,fax,1,763,989,763,0.37,0.00
Judeo-Kashani,soii1239,soj,1,757,987,462,0.15,0.00
Mam,mamm1241,mam,1,747,961,677,0.27,0.00
Shona,shon1251,sna,1,704,838,211,0.14,0.00
dAXunhyuuga',eyak1241,eya,1,671,1116,182,0.12,0.00
Nambya,namb1291,nmq,1,652,948,42,0.08,0.00
Chalchiteko / Houma (Uma'),n/a,,2,647,821,647,0.35,0.00
Kibembe,bemb1255,bmb,1,647,986,631,0.97,0.00
Segagešo Living Dictionary,sepe1241,nso,1,638,815,78,0.10,0.00
Mortlockese (Chuukese) / Namolukese (a dialect of Mortlockese),mort1237,"chk, mrt / mrl",2,635,914,194,0.13,0.00
Iquito,iqui1243,iqu,1,632,1045,585,0.30,0.00
Gwich'in (Dinjii Zhuh K'yaa),gwic1235,gwi,1,612,2103,612,0.32,0.00
Panim,pani1258,pnr,1,600,950,595,0.20,0.00
Opata,opat1247,opt,1,594,634,9,0.00,0.00
Jewish Neo-Aramaic,"barz1241, lish1246","bjf, trg",1,587,3327,557,0.68,0.00
Da'an Davi,sout3001,mit,1,581,5209,507,0.75,0.00
Kholosi,khol1241,,1,564,656,436,0.16,0.00
Pohnpeian,pohn1238,pon,1,552,720,108,0.05,0.00
Kosraean,kos1238,kos,1,543,662,54,0.02,0.00
Badaga,bada1257,bfq,1,532,685,528,0.19,0.00
Lung'Ie,prin1242,pre,1,498,498,475,0.14,0.00
Sakapulteko,saca1238,quv,1,486,642,484,0.37,0.00
Achi,achi1256,acr,1,485,655,485,0.50,0.00
Kaqchikel,kaqc1270,cak,1,481,649,478,0.38,0.00
Txolilal Q’anej Yul Koq’anjob’al (Qʼanjobʼal),qanj1241,kjb,1,481,704,478,0.29,0.00
Tzʼutujil,tzut1248,tzj,1,481,693,301,0.19,0.00
Pochuteco,poch1244,xpo,1,471,1151,97,0.05,0.00
