iso_639_3,language_name,is_macrolanguage,matched_fineweb2,matched_huggingface,matched_commonvoice,num_sources_matched,any_match_via_iso639_2,matched_sources_label
gid,Gidar,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
giz,South Giziga,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
gle,Irish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
glg,Galician,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
glk,Gilaki,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
glv,Manx,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
gom,Goan Konkani,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
gos,Gronings,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
gsw,Swiss German,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
guc,Wayuu,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
guj,Gujarati,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
gya,Northwest Gbaya,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hac,Gurani,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hak,Hakka Chinese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hat,Haitian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hau,Hausa,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hch,Huichol,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
heb,Hebrew,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hil,Hiligaynon,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hin,Hindi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hrv,Croatian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hrx,Hunsrik,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hsb,Upper Sorbian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hun,Hungarian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
hye,Armenian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
iba,Iban,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ibo,Igbo,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ile,Interlingue,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ina,Interlingua (IALA),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ind,Indonesian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
isl,Icelandic,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ita,Italian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
jam,Jamaican Creole English,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
jav,Javanese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
jbo,Lojban,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
jpn,Japanese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
