subset,code,reason
cjo_Latn,cjo,not_in_cc_data
cjp_Latn,cjp,not_in_cc_data
cjs_Cyrl,cjs,not_in_cc_data
cjv_Latn,cjv,not_in_cc_data
ckb_Arab,ckb,not_in_cc_data
cko_Latn,cko,not_in_cc_data
ckt_Cyrl,ckt,not_in_cc_data
cle_Latn,cle,not_in_cc_data
clu_Latn,clu,not_in_cc_data
cly_Latn,cly,not_in_cc_data
cme_Latn,cme,not_in_cc_data
cmn_Hani,cmn,not_in_cc_data
cmo_Latn,cmo,not_in_cc_data
cmr_Latn,cmr,not_in_cc_data
cnh_Latn,cnh,not_in_cc_data
cni_Latn,cni,not_in_cc_data
cnk_Latn,cnk,not_in_cc_data
cnl_Latn,cnl,not_in_cc_data
cnt_Latn,cnt,not_in_cc_data
cnw_Latn,cnw,not_in_cc_data
coe_Latn,coe,not_in_cc_data
cof_Latn,cof,not_in_cc_data
cok_Latn,cok,not_in_cc_data
con_Latn,con,not_in_cc_data
cop_Copt,cop,not_in_cc_data
cor_Latn,cor,not_in_cc_data
cot_Latn,cot,not_in_cc_data
cou_Latn,cou,not_in_cc_data
cpa_Latn,cpa,not_in_cc_data
cpb_Latn,cpb,not_in_cc_data
cpc_Latn,cpc,not_in_cc_data
cpu_Latn,cpu,not_in_cc_data
cpy_Latn,cpy,not_in_cc_data
crh_Cyrl,crh,not_in_cc_data
crh_Latn,crh,not_in_cc_data
crj_Cans,crj,not_in_cc_data
crk_Cans,crk,not_in_cc_data
crk_Latn,crk,not_in_cc_data
crl_Cans,crl,not_in_cc_data
crm_Cans,crm,not_in_cc_data
crn_Latn,crn,not_in_cc_data
crt_Latn,crt,not_in_cc_data
crx_Latn,crx,not_in_cc_data
csb_Latn,csb,not_in_cc_data
csk_Latn,csk,not_in_cc_data
cso_Latn,cso,not_in_cc_data
csw_Latn,csw,not_in_cc_data
csy_Latn,csy,not_in_cc_data
cta_Latn,cta,not_in_cc_data
ctd_Latn,ctd,not_in_cc_data
cto_Latn,cto,not_in_cc_data
ctp_Latn,ctp,not_in_cc_data
ctu_Latn,ctu,not_in_cc_data
cub_Latn,cub,not_in_cc_data
cuc_Latn,cuc,not_in_cc_data
cui_Latn,cui,not_in_cc_data
cuk_Latn,cuk,not_in_cc_data
cul_Latn,cul,not_in_cc_data
cut_Latn,cut,not_in_cc_data
cux_Latn,cux,not_in_cc_data
cwe_Latn,cwe,not_in_cc_data
cwt_Latn,cwt,not_in_cc_data
cya_Latn,cya,not_in_cc_data
czt_Latn,czt,not_in_cc_data
daa_Latn,daa,not_in_cc_data
dad_Latn,dad,not_in_cc_data
daf_Latn,daf,not_in_cc_data
dag_Latn,dag,not_in_cc_data
dah_Latn,dah,not_in_cc_data
dak_Latn,dak,not_in_cc_data
dar_Cyrl,dar,not_in_cc_data
ddg_Latn,ddg,not_in_cc_data
ddn_Latn,ddn,not_in_cc_data
ded_Latn,ded,not_in_cc_data
des_Latn,des,not_in_cc_data
dga_Latn,dga,not_in_cc_data
dgc_Latn,dgc,not_in_cc_data
dgi_Latn,dgi,not_in_cc_data
dgr_Latn,dgr,not_in_cc_data
dgz_Latn,dgz,not_in_cc_data
