dataset_id,parquet_convertible,status_code,partial,partial_split_names_seen,num_shards
mllmTeam/MobileViews,True,200,False,,0.0
yhshin1020/coco-img-caption-pairs,True,200,False,,3.0
VTSNLP/vietnamese_curated_dataset,True,200,False,,132.0
SilvioGiancola/TrackingNet,True,200,False,,0.0
Spawning/PD12M,True,200,False,,125.0
ARTPARK-IISc/Vaani,,401,,,
caizhongang/HuMMan,True,200,False,,0.0
agentlans/high-quality-english-sentences,True,200,False,,2.0
SylvanL/Traditional-Chinese-Medicine-Dataset-SFT,True,200,False,,2.0
skit-ai/skit-s2i,True,200,False,,3.0
datatab/serbian-llm-benchmark,True,200,False,,98.0
LLM360/TxT360,False,501,,,
flozi00/asr-german-mixed-evals,True,200,True,,6.0
unicamp-dl/PublicHearingBR,True,200,False,,0.0
LeData/jazz-music-archives,True,200,False,,1.0
OpenGVLab/VideoMAEv2-TAL-Features,True,200,False,,0.0
ngwgsang/ViSP,True,200,False,,3.0
TrustAIRLab/in-the-wild-jailbreak-prompts,True,200,False,,4.0
Solaris99/AgentBank,True,200,False,,19.0
Skywork/Skywork-Reward-Preference-80K-v0.2,True,200,False,,1.0
fwnlp/self-instruct-safety-alignment,True,200,False,,3.0
Pendrokar/open_tts_tracker,True,200,False,,2.0
neulab/MultiUI,,401,,,
xchuan/text2image-fupo,True,200,False,,1.0
sapientinc/sudoku-extreme,True,200,False,,3.0
argilla-warehouse/proofread-assistant,True,200,False,,14.0
le-leadboard/IFEval-fr,True,200,False,,1.0
facebook/Multi-IF,True,200,False,,1.0
openfoodfacts/product-database,True,200,False,,2.0
TeaPearce/CounterStrike_Deathmatch,True,200,False,,0.0
rica40325/nsfw_free_dialogue,True,200,False,,1.0
osunlp/ScienceAgentBench,True,200,False,,1.0
simondavidpalmer/AEC-VA-details-spec-dataset,True,200,False,,1.0
tokyotech-llm/lmsys-chat-1m-synth,False,501,,,
Fanqi-Lin/Processed-Task-Dataset,True,200,False,,0.0
sarahwei/Taiwanese-Minnan-Sutiau,True,200,False,,19.0
ethanbradley/synfintabs,True,200,False,,20.0
MissTiny/WikiArt,True,200,False,,3.0
fawazahmed0/hadith-data,True,200,False,,1.0
picollect/danbooru_1024,True,200,False,,0.0
Exqrch/IndoDiscourse,True,200,False,,2.0
Joschka/big_bench_hard,True,200,False,,28.0
mit-han-lab/svdquant-datasets,True,200,False,,0.0
re-mind/NSFW-descriptions,True,200,False,,1.0
amaye15/NSFW-descriptions,True,200,False,,1.0
OleehyO/latex-formulas-80M,True,200,False,,2693.0
joshuasiagian/indosum,True,200,False,,18.0
allenai/tulu-3-sft-mixture,True,200,False,,6.0
OpenCoder-LLM/opc-sft-stage1,True,200,False,,22.0
polymathic-ai/active_matter,,500,,,
ai4bharat/NPTEL,,401,,,
OpenCoder-LLM/opc-fineweb-code-corpus,True,200,False,,510.0
hal-utokyo/Manga109-s,,401,,,
hal-utokyo/Manga109,,401,,,
OS-Copilot/OS-Atlas-data,False,501,,,
UBC-NLP/Casablanca,True,200,False,,30.0
d4rk3r/resumes-raw-pdf,True,200,False,,2.0
CASIA-LM/ChineseWebText2.0,True,200,False,,1.0
XavierJiezou/cloudseg-datasets,True,200,False,,0.0
openfoodfacts/open-prices,True,200,False,,1.0
ScalingIntelligence/KernelBench,True,200,False,,4.0
wasmdashai/DataSet_mshall79,True,200,False,,1.0
neurograce/SubstationDataset,True,200,False,,0.0
mib-bench/ioi,True,200,False,,3.0
allenai/llama-3.1-tulu-3-8b-preference-mixture,True,200,False,,4.0
O1-OPEN/OpenO1-SFT,True,200,False,,1.0
BestWishYsh/ConsisID-preview-Data,True,200,False,,1.0
mrcuddle/NSFW-Stories-JsonL,True,200,False,,4.0
Eka-Korn/power_line_lidar_data,True,200,False,,6.0
TigerResearch/MedCT,True,200,False,,0.0
ByteDance/FullStackBench,True,200,False,,2.0
DeepPavlov/clinc150_ru,True,200,False,,4.0
THUMedInfo/RareArena,True,200,False,,0.0
aialliance/GEOBench-VLM,True,200,False,,3.0
Rapidata/human-alignment-preferences-images,True,200,False,,53.0
toloka/mu-math,True,200,False,,1.0
amphora/QwQ-LongCoT-130K,True,200,False,,2.0
SWE-Gym/SWE-Gym,True,200,False,,1.0
KlingTeam/SynCamVideo-Dataset,True,200,False,,0.0
AxonData/Selfie_and_Official_ID_Photo_Dataset,True,200,False,,0.0
arth-shukla/MS-HAB-TidyHouse,,500,,,
Murtazali/bible-dargwa-russian,True,200,False,,1.0
YuhongZhang/Motion-Xplusplus,True,200,False,,0.0
ArtificialAnalysis/big_bench_audio,True,200,False,,1.0
rfcx/frugalai,,401,,,
lizb6626/Arb-Objaverse,True,200,False,,0.0
AlgorithmicResearchGroup/s2orc_full,True,200,False,,5413.0
neis-lab/mmcows,False,501,,,
zai-org/LongBench-v2,True,200,False,,1.0
nycu-ai113-dl-final-project/TurtleBench-extended-en,True,200,False,,2.0
FBK-MT/mGeNTE,,401,,,
agibot-world/AgiBotWorld-Alpha,,401,,,
ministere-culture/comparia-conversations,,401,,,
adyen/DABstep,True,200,False,,12.0
MapEval/MapEval-API,True,200,False,,1.0
lemonilia/Elliquiy-Role-Playing-Forums_2023-04,True,200,False,,6.0
opendiffusionai/pexels-woman-solo,True,200,False,,0.0
farbodbij/iranian-surname-frequencies,True,200,False,,1.0
mmoayeri/wikiart-artsavant,True,200,False,,3.0
DAMO-NLP-SG/multimodal_textbook,True,200,False,,0.0
ccvl/3DSRBench,True,200,False,,1.0
fal/cosmos-openvid-1m,True,200,True,,5.0
trojblue/danbooru2025-metadata,True,200,False,,43.0
chinoll/Danbooru2024-Webp-4MPixel-NL,True,200,False,,12.0
hitsmy/PRMBench_Preview,True,200,False,,1.0
nonchev/TCGA_virtual_spatial_transcriptomics,,401,,,
yiyic/culturaX_esp,True,200,False,,4.0
internlm/SWE-Fixer-Train-110K,True,200,False,,3.0
nvidia/Aegis-AI-Content-Safety-Dataset-2.0,True,200,False,,3.0
RobotsMali/bam-asr-early,True,200,True,,25.0
ELTE-DH/HunSimpleNews,True,200,False,,3.0
Benjy/typed_digital_signatures,True,200,False,,0.0
lmarena-ai/VisionArena-Chat,True,200,False,,43.0
lesserfield/indo-informal,True,200,False,,1.0
